Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"IGBP1"	0	0	0	1.5702412292	2.0298829556	1.6984480908	1.4837719368	1.527659887	1.2658197918	2.0390257581	1.2546492211	0	0	2.1492037671	1.5117710171	1.0137311884	0	1.1494347064	1.0304107486	0.9950178598	0	2.4242369485	0	2.7534068832	0	1.038687981	1.0754311873	0	1.1387958697	1.0137311884	1.8749134516	1.4045885315	0	1.3912031853	0	1.93903825	0	0	1.4083457739	2.035632178	1.6811878039	0	1.0438338102	1.0126728991	0	1.0304107486	0	1.7072149489	1.4116081186	0	1.0954960292	0	0	1.0137311884	0	1.9375682235	1.0262565675	1.6511188394	0	1.6763924918	2.224034336	1.8749134516	1.4446058093	0	1.038687981	0	0	1.3354670359	0	2.2439361488	1.2586154939	0	0	2.6604936511	0.9985690037	0	0	0.9950178598	1.0126728991	0
"IGF2BP2"	2.959158882	3.2040637914	2.988998592	1.1933961405	2.2249859877	3.13264684	1.7256905944	1.7752089389	3.3153038296	2.2374090613	4.085547674	0	2.214329724	4.4714049528	2.5378175267	2.7887423573	2.5865026677	2.8754472695	1.9284032925	3.464755951	0	2.3045260492	3.3819127793	1.8949152538	2.1023012551	2.3045263303	2.0884695588	1.2390990667	2.8372531843	0.8645920718	3.041319812	2.2393234042	4.3952271965	4.6613713975	2.6483568837	1.9585028531	1.2661458134	2.0497492218	2.3117553307	2.9464956576	2.2553241103	3.1408809684	4.1876758527	3.1168155174	2.0152314225	2.9826058685	4.1246765969	3.7204142352	3.3263708562	0.9348074842	3.4135775853	2.1072894773	0.9833554857	3.4396076702	2.2248293148	4.5055197523	2.7575584033	3.5283233817	2.91461571	2.6113045511	3.8220689898	3.6285346074	2.441956859	2.1985568035	1.9064744907	2.4848529095	3.6309960549	2.8326577883	1.7017470203	2.6185661763	2.4640828526	4.048096107	3.6249041282	3.0905736057	2.5196934766	2.7881309693	1.0755608901	3.464755951	3.2843321384	3.2634949733
"IGF2BP3"	4.0195592879	1.0015610044	0	1.0156760152	0	2.3931373606	1.0001078331	1.0096747309	0	1.1314139561	0	0	1.844896626	1.7832862416	1.4440902611	1.0115850812	0	1.1305632423	0	0	0	0.98521361	1.0622318991	0	1.7654359789	3.0797024296	1.0658197063	3.3564376552	1.1212744548	1.0115850812	0	1.0115850812	0.98521361	1.4535967694	3.5322649612	1.4003861349	3.7992464698	0.9974892157	0	0.9893155636	0.98521361	0	0	1.6453662581	1.0765434942	3.7475940099	1.0115850812	0	0	1.7983421162	1.0834049866	2.825067929	1.1326770004	1.0115850812	2.6707153535	1.4175527276	1.5266015425	3.4144320767	1.1212744548	0.98521361	0	1.0115850812	0.9958011615	2.8883629516	1.0335523473	2.2934388071	0	0	0	1.0443976833	0	1.7656255697	1.7500131009	0	1.5021680665	0	1.2254767183	0	0	3.2944632383
"IGF2R"	3.981188531	3.0331788929	3.9278279041	2.7879933033	2.7995480369	4.2161315104	3.1408433781	1.5694651056	3.6004304085	2.8002290168	4.2117173081	1.2717847837	2.7950012507	4.2123873485	3.6742353568	3.7824020261	4.4968665126	3.5352022745	3.6248334435	3.902838476	0	4.0821956153	3.1516347056	3.0926968649	3.7036042282	2.9927481886	3.414657366	2.6988679406	3.8503406821	4.2315642224	3.6524663652	3.75358859	5.2174571823	2.9481033783	4.1040787124	2.4618098244	1.0732903201	3.5767897638	4.0042239167	4.0840464372	3.8232182056	2.5503615864	2.7346698503	4.3358113576	2.7668919348	4.3292537777	2.8734425911	2.3618055946	3.3494741808	3.1717120679	3.763363292	1.8237256954	2.8151876335	3.5929446253	1.1477521928	4.4142897799	3.9200616876	3.9767860979	3.5293585409	3.7294779732	4.0951593332	3.9855136155	3.7485235383	3.7612885796	3.3958101749	4.5755431845	4.2294473916	3.6694652534	3.5891744958	2.7999472986	3.7792527113	3.1656556334	3.6591615741	2.5135057742	4.5024461874	0	4.23844808	3.902838476	3.6441996823	4.2785022096
"IGFALS"	0	0	0	0	0.9978274854	0	0	0	2.5182057211	1.0002400249	2.6568593282	0	2.9836359754	1.592209773	2.9911088186	1.9627085891	2.3317130729	2.0399783314	2.3279544796	0	1.3059447307	1.1492441275	2.985054431	1.2112656027	3.1276670577	2.100624041	0.9442910675	4.8568763127	0.9915896187	2.7693210102	0	1.5349233904	0	0	2.9858383003	0	0	0	1.152939733	0	0	0	0	0	1.2659050777	0	2.7040889653	0	1.7779098533	2.6727261309	1.8500103366	2.9836172516	3.176623891	2.4928546633	2.8375186229	2.2993513951	2.2503854851	2.3600703098	2.6008115212	0	1.1492441275	2.6625236064	0	0	2.5235200321	0.9074516599	1.1020262599	0	1.982897015	0	2.9875515382	3.8783927379	1.1492441275	1.4659514566	0	0	0	0	0	1.9240586654
"IGFBP7"	2.6779591188	1.0588555755	2.1429612185	2.4784029934	2.2129236506	1.9454620415	2.3977046103	2.1322816255	3.405342961	1.0769184201	2.1138515821	0	1.7509696773	2.5278494164	2.682902769	3.0044248573	1.8354722682	2.7911336239	1.9472965144	2.6954156694	1.1742240715	3.0949468448	3.6119250957	0	2.4035411185	2.5279836763	2.0908819196	2.7356859927	2.5070778603	2.1515032173	1.0151506972	1.9770232851	2.3981497584	2.3317765964	2.9603567144	2.256526936	2.0262219806	1.6081536928	1.5711406217	2.3813079323	2.8581606155	3.0262475348	1.916949971	1.7565973015	1.1402252239	1.9061136742	3.061656773	2.6336360945	1.575336504	2.4460470449	2.0107451717	2.419434782	1.8067802569	2.0825935922	3.4441332673	2.0287238072	2.883806969	3.2500501837	3.4002843665	1.484898243	2.624277036	2.8924373842	0	1.7592737474	2.5286755115	2.6654362633	2.0255158153	2.2445944885	2.4874136344	1.5796775473	2.4259655564	2.4444269022	1.0411171728	2.3022304294	2.3273518128	1.8081462891	1.165539164	2.6954156694	3.4900957321	1.7651411696
"IGLL5"	5.1507722008	5.6762734342	5.5017852384	5.1337062367	5.349418978	5.5952624093	5.3531182181	5.4644809096	5.3353882251	5.9356060761	5.0228328156	5.7404310434	6.0276979045	4.9978113503	4.7252629398	5.9542350315	5.8003085523	5.5197877341	4.7384166701	6.0238595566	5.7542117504	4.8873315298	5.095766149	4.2071036848	5.982159573	5.1385758879	5.4955899745	6.3379078262	5.7767185318	5.7853994029	5.4164983656	5.7742453439	5.1380849986	4.4259824746	5.0521285057	5.5911153034	4.9629142765	6.251251791	5.377599672	5.8975564743	5.8160418699	5.2569612127	5.1899898117	5.3407258407	6.1896134279	5.6215250854	4.9803674674	4.8122858304	6.0421648556	5.1141344409	3.3825992435	5.8694665033	6.8722685731	4.9657652475	5.2152396835	5.1010680356	5.6395071262	4.6638232529	4.9299559991	5.3385648486	6.1092154952	5.7525050538	3.5888025785	5.4217788196	5.0336031393	4.8274370102	5.0137168162	5.4275455406	5.3411028463	4.4262812341	5.5366407833	5.5933835883	5.1517481663	4.9928805503	5.0671464773	4.9019600989	4.8219818507	6.0238595566	5.5584374312	5.2416591295
"IK"	1.0115795461	1.5822359718	1.5504708447	1.6320817569	0	2.0577360219	1.0140377685	1.5853258047	2.0027611718	2.4208415113	2.7440053651	0	1.094154653	2.0003313568	1.4615633875	1.7310619595	1.983978481	1.9496612896	1.6492600041	1.4698993463	1.1149156047	1.4213768594	0	1.0456168577	0	1.6880129692	0	1.7646402373	1.1195742842	1.3411273932	2.6804513265	1.0041124993	2.5934241294	2.1017400932	1.9233169379	2.2855730461	2.2943330461	2.3577851547	1.4544552652	1.003904253	2.0580042964	1.7080608613	1.7487261069	1.9829085354	1.0856430915	2.0635052656	1.2393040724	2.359247785	1.0054955158	1.0796588045	1.9496612896	1.8061865349	1.1316030243	1.8985628975	1.1223508324	2.4946245173	1.5493453765	1.0041124993	1.1195742842	1.7487261069	2.1333605981	1.3612105029	2.7422083486	1.6146146301	1.0271969149	2.3682774647	0	1.7527879462	1.8795955123	1.0386013313	0	1.0722806504	2.2327897092	1.0310084669	2.0979703879	1.0230156875	1.229658202	1.4698993463	1.6215212773	1.9047689173
"IKBIP"	3.205749964	1.8389984054	1.8079053622	1.2817488974	2.1660644966	2.024046625	2.5781516626	2.1763451045	2.3405279687	2.5873626739	3.3414013641	0	2.1547115244	3.2044623292	1.9560446658	3.2796035116	2.9826723111	3.1739115199	1.8512851341	3.311559324	1.3711657001	2.946367337	3.5672273682	2.299676964	2.9444373368	3.0303648767	0	3.0605682681	2.519212385	1.8029489013	0.8119015649	2.181343706	1.7254124847	1.6947882069	2.0242030918	1.6459720739	1.3526950328	2.5781516626	1.2546934219	1.2558812803	2.2961922434	2.3130656534	1.3110451004	1.2758722491	2.4928180049	2.7663611378	3.1922868063	2.3270378258	2.368065803	2.0716978887	1.1519413711	2.4136033664	2.6038705525	2.7637390842	2.9110975096	2.7400627565	2.1186229322	2.4048450068	2.5746051785	1.2518431285	2.3674283009	2.7552908677	3.2572361245	2.7643167596	2.8039438936	2.7106837278	3.6783811511	2.0045864826	2.8048175321	1.4257829262	2.8157377343	2.4436890662	1.9617940359	2.2728638202	3.220165624	1.2758722491	1.8543045893	3.311559324	4.0329082462	3.0782868644
"IKBKAP"	0	2.7089833814	0	1.0504759419	2.2465356346	1.9077093391	1.6344509123	0	1.6000494765	2.257724847	2.1465518771	2.022147577	1.0643733904	1.3875187949	2.3076721766	2.1665961305	2.5710997887	1.8345830729	1.5648951505	1.5566712855	0	2.2952270637	1.6632812072	1.0697477947	0	1.5997023896	1.6755750543	1.0992259606	0	1.2876792073	0	2.5010162636	2.5944344045	2.8713457565	1.4190332865	1.4604128652	1.128224402	2.0022482034	2.3035764463	1.0224220075	1.8856978933	2.3704508071	1.0824409214	0	0	2.7490319142	2.1240540735	1.0180572811	1.9899947223	1.0512172252	2.9484826681	0	2.6138218724	2.1149978676	1.0899451206	1.7450354595	1.4751093072	2.2434614433	0	2.6508366214	1.0180572811	2.5389899925	1.5847635044	1.7241241986	0	2.7027538391	0	2.2030387876	1.7716965575	2.3339013156	1.9806771831	2.1624463381	2.4411822516	1.0070119755	1.5689026162	1.7722946065	0	1.5566712855	1.7321250688	1.7942907888
"IKBKG"	0	0	0	0.708927213	1.4893949114	0.686357219	0	0	2.1133919905	0	1.6023206709	1.6263126343	0	0	0	1.3463557459	2.1231231511	2.392657668	1.3644253325	0	0	0	1.4085284911	0	2.2376248606	2.5774222003	2.2039292518	0	1.4805157856	1.7319237061	1.4129177917	1.7569784321	0	0.686357219	0	0	0	0	0	0	0.686357219	0	0	0	0	2.5126984285	1.3463557459	1.3448503693	0	2.2751582775	1.8196263441	2.2400005304	0	1.3463557459	0	1.8345776745	1.9622362678	2.0053113935	0	0	0.8926210374	1.7543689319	0	0	0	1.359930317	0	0	0	2.121381805	0	2.2378413781	0.686357219	0	0	0	1.606344645	0	0	1.8809945668
"IL16"	0	0	0	2.007381223	0	1.8019741287	2.8461079404	2.2801575838	0	0	2.4562016843	0	1.8602914996	0	2.8299434248	1.3260412932	1.6820817232	0	1.0445299726	0.9651560951	0	0	1.0805214416	1.7240224518	2.2283123758	1.0518188642	0	1.0373572651	1.869365293	1.0298253935	0	2.3557866246	0	0	1.0298253935	1.3778849044	0	2.1929361384	0	1.4712534874	0	1.0554476825	0	0.9855171822	0	1.6123555937	1.0298253935	0.961054962	2.4442899029	1.1017036552	0	0	0	1.0298253935	1.1422050666	1.0298253935	2.8337777713	1.0298253935	0	0.961054962	1.657667975	1.3675305935	0	1.6275976142	0	1.0408697735	0	1.3649403034	0	1.0626743751	0	0	2.9001132771	2.934424751	1.8723114445	0	1.2436774077	0.9651560951	0.9855171822	1.4746113397
"IL18"	1.0159124907	1.786073606	1.0191413739	1.0303186078	0	0	1.4507913998	0	0.9917402062	0	0.9917402062	1.2950389269	1.1028978987	0	0.9917402062	0	1.327751489	1.1467732344	1.0106777169	1.3958901451	0	0	1.0572956564	1.04461974	1.0803320853	1.0200885997	0	1.0664167547	1.1345453079	0	1.9979947532	1.4429604203	0	1.0061654527	0	0	1.0877718225	1.0159124907	0	1.009424599	1.3178364287	1.0247796457	0	1.5119864626	0	1.0106777169	0.9917402062	1.0061654527	0	0	0	1.0803320853	0	0	0	0	1.0059578382	0	0	1.3230114843	0	0.9917402062	1.0145732755	1.019850481	0	0	0	1.0061654527	0	1.8717538658	0	0	1.5900483083	1.0247796457	2.2249372938	0	0	1.3958901451	1.5194512711	0.9936049566
"IL4I1"	1.0153293025	0	0	1.0325334122	0	1.4015232139	3.5541675797	3.9385389431	1.6812534705	2.7867125041	2.2858820026	0	3.5336323621	1.7489241687	2.4639751701	2.7547771863	1.0015577358	3.0393439192	3.0093110027	3.4108817255	0	1.4285533008	2.6212176368	0	2.6087940363	2.475524327	0	1.7747337118	2.7239784656	1.7489128638	1.0582212263	1.7849530677	0	1.4429706613	1.4812202027	0	0	2.5862460725	0	1.8705053193	0	0	0	0	1.8310055623	2.0538141161	1.2352100724	1.0037075926	1.0091960296	2.6560967831	1.0015577358	1.7982370041	3.5699195406	0	1.1190316993	1.0015577358	3.1420259186	1.0015577358	3.0778163193	0	0	2.4445408519	1.013731622	2.9510885907	1.641501856	2.8999093781	1.2520829814	1.0037075926	1.0983851877	0	0	1.7962325649	4.7686578235	2.1476659572	2.6760399082	0	0	3.4108817255	3.3968887183	2.2610029257
"ILF2"	4.9429408834	5.0500456364	5.0620922753	4.3521236842	5.15999735	5.126676043	4.9076321243	4.958612144	5.0844918279	4.9910893811	5.0278631957	5.1275808503	5.1410579472	5.162863955	4.7859269038	4.7587568574	5.164168419	4.811563308	4.8425419075	4.9231817751	4.4366172155	4.9601033504	4.9519430565	5.582556806	5.1499708946	4.9094875426	5.2692321079	4.2074042921	4.9661356231	4.5997868639	5.129291405	5.015360826	5.3559179382	5.2501720433	4.748028621	5.0032734616	5.3590893831	5.3011309896	4.9612283773	4.8360565821	5.0008882761	5.1583567644	5.6514518837	4.9596981951	4.501626475	5.3854539237	4.667486227	5.4508999516	5.062810271	3.7504646117	5.331515315	4.8788625363	4.7517105011	5.238395362	4.5166141401	5.650858633	4.8876583341	4.671101034	4.6240488658	4.9160702829	5.0740546983	4.9645028267	5.5077558692	5.0306094621	5.0807346162	5.4879795129	4.8114846458	5.0847126571	5.0547899866	5.7534985158	5.0958388765	4.9789686086	5.4583011165	4.5705923629	4.565301746	5.2678971953	4.8650277483	4.9231817751	4.8959762455	5.0125346278
"ILF3"	5.4152799391	5.2462988614	5.192035791	4.9628479798	5.4560505059	5.2899868841	5.1484949565	5.0835121476	5.0227579871	5.7987555736	5.1523175895	4.5497978133	4.5998744037	5.6122576754	5.4203901181	5.0532083415	5.0647636151	5.2085112781	5.4033209475	5.3529305043	4.6539651141	5.3266505207	5.1449196258	5.5996665428	5.217036808	4.8423760181	5.0361216487	4.6195581005	5.2352865062	5.1350442064	4.6318418179	5.1610538869	5.495628914	5.3869799082	5.0511210707	5.4300272054	5.0555278693	5.3992666765	5.1957170629	5.3444540208	5.4795803113	5.8513385934	5.2064959872	4.9718061163	4.8318463996	5.2581536195	5.3188565339	5.4882274654	5.2524755496	4.9867337276	5.5476514772	4.6549920094	5.2375683988	5.2965499683	4.1794508492	5.5325398674	5.112809509	5.2394607587	5.1060463135	5.275014857	5.292706731	5.0501919629	5.4034625131	5.0741456723	5.0354280334	5.4766966383	5.2517647952	5.4168786381	4.9351086755	5.8100489284	4.7294971538	5.0632088527	5.6011136862	4.1931556875	5.1896867788	5.595686918	5.0454713623	5.3529305043	5.0737305731	5.2715081825
"ILK"	4.2200191377	2.5861871816	3.2708056928	5.0142903828	4.2297479717	2.9582153729	4.1258069551	3.820631262	3.6425946867	0	4.5937918133	2.7808902417	4.2573701545	4.7822227375	3.9875009273	3.4362829144	3.6464735152	4.2162019513	4.4893645629	4.3183080503	3.9381660501	4.5327400561	4.3696282036	3.7238455885	3.4838720776	4.7611780225	2.7406259046	2.7788199064	3.1459454795	3.8469603072	1.0771257504	2.5175417553	2.8185022377	2.67499845	4.6001485102	4.153516393	1.7998560509	4.1944358286	3.1312631114	3.4905580891	2.9491071224	3.6624341188	1.7120204631	3.8053526057	4.8511433691	2.5079931573	3.7454194952	4.1426337868	3.2895778693	4.6900891088	3.1661332514	4.5523837339	3.2562336951	4.2609916652	3.232213699	3.6134238949	4.3791269989	4.1835624205	3.8989709386	2.8525991188	3.940469157	3.4973527749	3.3532867324	3.6642849671	3.900983796	3.2440149719	1.2829586097	3.20990267	4.4298983081	2.6051037342	3.139827282	2.4033584075	3.1335682985	2.6083128178	3.6471742892	2.8635332504	0	4.3183080503	4.027955289	3.3936403458
"ILKAP"	2.004604227	1.0815542355	1.0815542355	1.0957885989	1.0634235902	1.4881355659	2.6946152057	1.0897381543	1.592379358	1.833061021	1.8720898812	0	1.7822795992	2.1330197431	1.7676402217	1.6327624977	1.8726406485	1.840045732	2.3494898352	1.0691946444	0	2.2459306992	0	0	0	2.0069580918	1.6720208795	0	0	2.211072531	1.6912542251	2.0241481222	2.0008910036	2.2404252365	2.1491417741	1.8827931699	0	1.978252505	1.5521445424	1.5709164071	2.1941215986	2.0600562182	1.1260266934	1.7206356283	0	1.5302168917	1.1687049586	1.5040876328	2.2745998447	1.0187032148	2.4235242448	1.0152448671	1.0674773153	1.7915387482	0	1.7453662713	1.8759786171	1.7915387482	0	1.865866542	1.3395675557	2.0381408876	2.029525706	2.4710187563	1.5545140699	1.8805260967	1.1846833195	1.8701871856	0	2.010482847	1.1597229479	2.1875978849	2.5822930247	0	1.0733257492	2.4885731207	0	1.0691946444	1.7304240151	1.7974283056
"ILVBL"	3.5177439573	3.5564450902	3.4524952623	3.0699868853	3.4127540922	3.6362773455	3.0264162512	3.1616054455	3.3627216518	3.2041601006	3.8015593383	2.0730158215	3.2431002759	4.1477787657	3.5625313686	3.1721424466	3.5947649223	3.7499486591	3.1350685876	3.7365122267	1.1718023512	3.2542379486	3.5662244869	3.0725808985	3.0136973631	3.0901827075	2.1818085057	3.177689629	2.904566782	3.7789780234	3.7223381368	4.0923131196	2.8900811464	2.7315592804	3.5601351923	3.9438810324	2.4089759998	3.8871252369	3.6829855324	2.7178806232	3.862196689	3.3810665686	2.2699891898	3.0635296792	3.3823229935	3.3976895306	4.2788346233	2.196435786	4.2812226595	2.2282841041	3.8328230944	3.2545697878	3.4603308538	3.7220816644	2.6659838967	3.9796667584	3.5376504673	3.4377395147	3.214476046	4.291334152	3.7082902638	3.778365593	3.8743678969	3.4876804515	3.8585756644	2.994863502	3.3914488142	3.7950496715	3.4778517077	3.1809845545	1.1805501926	3.2619133642	3.5988524494	3.1475580819	3.8329586118	3.4384294957	2.0287687889	3.7365122267	3.3896937087	3.1327963269
"IMMT"	5.0159600996	5.3288320878	5.2093161723	4.3791934186	5.0256224059	4.7125893959	4.8341711733	4.9746946948	5.141338921	4.9545488441	5.2662537512	4.2095058733	4.7467979055	5.1983920782	4.9144574237	5.161773856	5.2413512379	4.4204321449	5.0860639166	5.074271788	4.8813455673	4.9909291791	4.5161202366	3.9560520796	4.4828561121	4.6986152187	5.1216053428	4.7936389557	5.0346438095	5.9150975408	5.5476803816	5.2733895888	5.0910416586	6.4054367587	5.3371599349	5.0839315637	3.8758638824	5.2702415445	4.8695995708	5.1749273125	4.5918911359	4.9663147869	4.8114287928	4.5445758446	4.1005816914	4.9070821722	5.2291608824	5.5683528957	4.8332530945	4.6768985533	6.0628413163	4.6237161245	4.0966635008	5.0521510387	4.5787667634	5.2475924412	5.054951844	5.3621358413	4.4359829575	4.9867205425	5.3690445324	5.5286499647	4.7551039134	4.8581404442	5.1029106528	4.7339574087	4.463638641	5.271109598	4.6662664748	5.4991228018	5.1165500205	4.1452182821	5.0540162527	5.5911271984	4.4474117156	5.358542868	5.1517632296	5.074271788	4.7028731864	5.118177263
"IMP3"	1.0210603402	1.6094721874	1.0249940922	0	1.1135305448	1.4158099744	1.0235902669	1.0328306289	1.6597009235	2.3728570128	0.993505632	0	0	1.0091965041	1.8397243397	1.2983326443	1.6684710514	1.1155622657	1.0085470758	2.2204965906	0	2.1510429692	1.0454080449	0	1.0635409527	0	0	0	1.1060175091	1.3217413976	1.0490879942	1.3435647415	1.4901593854	1.458214926	0.993505632	1.4075041868	1.1090115166	1.5101348978	1.4775964921	1.0131616005	1.0091965041	1.6788345806	2.5062480981	0	1.0973118679	0	1.9295309703	2.4113261233	1.4812856982	1.0671307728	2.1394397092	1.0635409527	1.1177346174	0.993505632	0	1.4115063054	1.004802009	1.5627666045	1.1060175091	1.7813259535	1.6711267774	1.7613135477	1.5186140683	1.0258582385	1.6207507853	1.5296371155	0	1.0091965041	0	1.0271219704	0	1.0599418144	1.0091965041	0	1.0171161944	1.6858055177	2.0727504042	2.2204965906	1.0328306289	1.4523928864
"IMPDH1"	0	1.0273037034	1.0273037034	1.9125740472	1.741133548	1.5647602502	0	0	0	1.0878675827	2.3937034314	0	1.7047407742	2.0705075691	2.3748611918	1.2414674234	0.9829762349	0	1.8827303861	2.2630112216	0	2.1742515835	0	0	0	1.5427450333	1.6109739958	2.7040171164	1.7126030476	1.2611252057	0	1.279432661	2.2729524249	1.0063064545	0.9829762349	1.0063064545	0	1.698006831	0	1.0115696549	1.0063064545	1.0054341502	0	1.0377467568	1.1243189648	0	2.01330964	1.0063064545	0	1.0459200965	1.325337847	0	0	2.0051938651	0	0.9829762349	2.3342531822	1.4624827592	1.0790161058	1.0063064545	0	1.6273507666	1.0198988689	0	1.5107023914	0	0	2.0908300585	0	0	0	2.3323027266	1.0063064545	1.5584578745	2.2150434219	0	0	2.2630112216	1.0377467568	1.7176032014
"IMPDH2"	4.3655042931	4.1006805582	4.0840170277	3.5638640377	3.552453567	3.9802943632	3.9672980979	3.4159850664	3.84420408	4.3794352303	3.8904936031	3.704796425	4.3061957706	4.1084825759	4.1211760328	4.3343770122	4.1419972292	3.990272216	4.6124327964	4.3686651526	2.4813484345	3.719133611	4.2339052043	2.6623977196	3.7105023128	3.4503150657	4.1859406253	4.3174861381	3.8541734422	2.9639914874	3.7653773497	4.2592392729	5.0105078372	3.894464916	3.6560393658	3.715671229	4.9953592985	4.8426540771	3.6274166818	3.5385718668	3.7681329722	4.4567019941	3.2617478601	3.5792379408	3.8946273287	4.2374355679	3.6438860142	2.6892890614	3.3975484347	3.6456122673	4.6208079071	3.6242571901	4.3259119352	4.327113214	3.0071766151	3.939805991	4.1238782575	3.4996955064	2.9564428986	3.845015438	3.7716430507	3.9611344726	4.3578420948	3.7977218351	4.08182062	4.2398483568	4.0489836016	5.0815218747	3.1859909351	5.0327590102	2.969732606	4.1072944249	4.5842937724	4.5160155328	4.0861884007	2.6329712253	2.7346250864	4.3686651526	4.3218023306	4.7134699858
"INF2"	3.1822957389	4.3079964814	4.3615485316	2.6415903309	3.5087906293	4.7644431909	3.6571640519	3.6909414273	3.3027210981	4.2924132034	3.8956183129	4.2922618473	3.1101719523	4.2962359138	4.5983984475	4.6843186313	3.7983231023	3.9878022088	3.7712289716	4.0039917219	4.564024504	3.1463522209	4.2370559794	4.0293785844	4.0246776409	2.7533369098	3.6064121552	3.728681115	3.8323855992	4.1234869307	3.9518031082	3.9309375361	4.5361995172	3.6063369072	4.4963642233	3.9155695464	3.4988640352	4.1581964413	4.5608993541	4.183414337	4.1066288402	3.8851868837	3.9367104198	3.9371400654	3.1389378773	4.6235408343	4.4879050555	2.8168509423	4.3609066439	2.3239499735	4.991172904	3.3511933657	3.3503861911	4.4023273399	3.5561502582	3.4320940877	4.022664727	4.4028916178	2.7804496947	4.7476857145	3.9327410795	4.5672403381	4.0593271558	4.5649834668	3.6970467343	3.9728290549	2.7518195921	3.8868148764	3.8349501127	3.6238587379	3.2723195943	4.5454970426	4.2744159185	3.0307967008	3.992055512	3.6931377615	3.038479352	4.0039917219	4.1056718695	3.4095697047
